month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
1,20378,YV,YV,Mesa Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
1,20452,YX,YX,Republic Airlines,2,12732476,0,0,0,0,12732476,12732476,0,12732476,14986287,0,0,0,0,14986287,14986287,0,14986287,2016
1,20046,ZW,ZW,Air Wisconsin Airlines Corp,2,6016332,0,0,0,0,6016332,6016332,0,6016332,7953100,0,0,0,0,7953100,7953100,0,7953100,2016
1,19393,WN,WN,Southwest Airlines Co.,3,152934872,0,0,1247049,1247049,154181921,153259159,1247049,154506208,275515401,0,0,1771696,1771696,277287097,275939739,1771696,277711435,2016
2,21161,09Q,09Q,"Swift Air, LLC",1,0,0,0,0,0,0,218800,109897,328697,0,0,0,0,0,0,446977,226228,673205,2016
2,21352,0WQ,0WQ,Avjet Corporation,1,0,0,0,0,0,0,128194,53313,181507,0,0,0,0,0,0,330741,135415,466156,2016
2,21492,1BQ,1BQ,"Dynamic Airways, LLC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,21645,23Q,23Q,Songbird Airways Inc.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,259422,0,0,0,0,259422,287095,0,287095,559804,0,0,0,0,559804,619519,0,619519,2016
2,19917,5X,5X,United Parcel Service,3,31170000,8611000,11634000,3087000,23332000,54502000,31170000,23332000,54502000,32449000,7650000,11412000,3576000,22638000,55087000,32449000,22638000,55087000,2016
2,20007,5Y,5Y,Atlas Air Inc.,3,0,0,0,0,0,0,4697494,20528784,25226278,0,0,0,0,0,0,8482313,35957109,44439422,2016
2,19874,8C,8C,Air Transport International,2,0,0,0,0,0,0,18695,658357,677052,0,0,0,0,0,0,36038,1809220,1845258,2016
2,20363,9E,9E,Endeavor Air Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,20190,9S,9S,Southern Air Inc.,2,749638,3698889,480116,0,4179005,4928643,749638,4179005,4928643,1574240,7767667,1008243,0,8775910,10350150,1574240,8775910,10350150,2016
2,19805,AA,AA,American Airlines Inc.,3,167496992,32224150,18017131,48535743,98777024,266274016,167962196,98898820,266861016,177570624,29792404,15003646,58429066,103225116,280795740,178053556,103356830,281410386,2016
2,20453,ABX,ABX,ABX Air Inc,2,252917,0,0,0,0,252917,252917,0,252917,554065,0,0,0,0,554065,554065,0,554065,2016
2,19930,AS,AS,Alaska Airlines Inc.,3,34568885,0,0,893914,893914,35462799,34637580,893914,35531494,41003780,0,0,1094856,1094856,42098636,41076457,1094856,42171313,2016
2,20409,B6,B6,JetBlue Airways,3,47006545,0,0,11086304,11086304,58092849,47006545,11145308,58151853,53522617,0,0,12623093,12623093,66145710,53522617,12817678,66340295,2016
2,21167,CP,CP,Compass Airlines,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,19790,DL,DL,Delta Air Lines Inc.,3,135851152,44443458,34079839,28138037,106661334,242512486,137448608,107216726,244665334,182052595,59558176,45670008,37707466,142935650,324988245,185127672,143679924,328807596,2016
2,21650,EE,EE,Eastern Airlines Group Inc.,1,0,0,0,0,0,0,228160,163200,391360,0,0,0,0,0,0,314861,225216,540077,2016
2,20366,EV,EV,ExpressJet Airlines Inc.,3,76666,0,0,0,0,76666,76666,0,76666,178088,0,0,0,0,178088,178088,0,178088,2016
2,20436,F9,F9,Frontier Airlines Inc.,3,13579962,0,0,1548775,1548775,15128737,13691848,1548775,15240623,13018168,0,0,1822358,1822358,14840526,13114789,1822358,14937147,2016
2,20107,FX,FX,Federal Express Corporation,3,54914562,11158508,16078750,519924,27757182,82671744,55821380,28466779,84288159,56401000,11706000,16857000,690000,29253000,85654000,57371000,30613000,87984000,2016
2,20368,G4,G4,Allegiant Air,3,12349401,0,0,0,0,12349401,12815963,0,12815963,15426891,0,0,0,0,15426891,16053275,0,16053275,2016
2,20500,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,20166,GFQ,GFQ,Gulf And Caribbean Cargo,1,0,0,0,0,0,0,55553,74458,130011,0,0,0,0,0,0,89545,131663,221208,2016
2,20402,GL,GL,Miami Air International,2,0,0,0,0,0,0,385097,281349,666446,0,0,0,0,0,0,671224,490390,1161614,2016
2,19690,HA,HA,Hawaiian Airlines Inc.,3,12947588,0,5233178,0,5233178,18180766,12947588,5233178,18180766,14132312,0,5897859,0,5897859,20030171,14132312,5897859,20030171,2016
2,20310,WL,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0,0,0,0,0,0,36971,0,36971,0,0,0,0,0,0,93306,0,93306,2016
2,20370,KAQ,KAQ,Kalitta Air LLC,2,0,0,0,0,0,0,403246,2407946,2811192,0,0,0,0,0,0,545999,3697299,4243298,2016
2,21629,KD,KD,Western Global,1,0,0,0,0,0,0,18351,0,18351,0,0,0,0,0,0,18351,0,18351,2016
2,21634,KH,KH,Aloha Air Cargo,1,412808,0,0,0,0,412808,412808,0,412808,427991,0,0,0,0,427991,427991,0,427991,2016
2,20372,KLQ,KLQ,Kalitta Charters II,1,0,0,0,0,0,0,80604,13933,94537,0,0,0,0,0,0,152685,22077,174762,2016
2,20169,L2,L2,Lynden Air Cargo Airlines,1,79587,0,0,0,0,79587,150677,48423,199100,118835,0,0,0,0,118835,264940,31009,295949,2016
2,20151,M6,M6,Amerijet International,2,0,0,0,1531692,1531692,1531692,256209,1531692,1787901,0,0,0,1879064,1879064,1879064,314315,1879064,2193379,2016
2,20398,MQ,MQ,Envoy Air,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,20405,N8,N8,National Air Cargo Group Inc d/ba National Airlines,1,124059,0,0,0,0,124059,174228,832108,1006336,162602,0,0,0,0,162602,228590,1702990,1931580,2016
2,20108,NC,NC,Northern Air Cargo Inc.,1,317290,0,0,0,0,317290,368420,9476,377896,414356,0,0,0,0,414356,472561,16019,488580,2016
2,20416,NK,NK,Spirit Air Lines,3,19937150,0,0,2044272,2044272,21981422,19937150,2044272,21981422,23485111,0,0,2408065,2408065,25893176,23485111,2408065,25893176,2016
2,20397,OH,OH,PSA Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,20304,OO,OO,SkyWest Airlines Inc.,3,5287524,0,0,0,0,5287524,5287524,0,5287524,7860757,0,0,0,0,7860757,7860757,0,7860757,2016
2,20177,PFQ,PFQ,Asia Pacific,1,0,0,0,0,0,0,0,245619,245619,0,0,0,0,0,0,0,412422,412422,2016
2,20100,PO,PO,Polar Air Cargo Airways,3,2202955,624770,8971167,0,9595937,11798892,2202955,9595937,11798892,2449532,926752,9021672,0,9948424,12397956,2449532,9948424,12397956,2016
2,20149,PRQ,PRQ,Florida West Airlines Inc.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,19687,QX,QX,Horizon Air,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,20448,S5,S5,Shuttle America Corp.,2,3082947,0,0,0,0,3082947,3082947,0,3082947,3177980,0,0,0,0,3177980,3177980,0,3177980,2016
2,20422,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,2603490,0,0,2250440,2250440,4853930,2821924,2392845,5214769,3169810,0,0,2876159,2876159,6045969,3895757,3087377,6983134,2016
2,20447,U7,U7,USA Jet Airlines Inc.,2,0,0,0,0,0,0,305977,15967,321944,0,0,0,0,0,0,362231,27656,389887,2016
2,19977,UA,UA,United Air Lines Inc.,3,104234102,46493514,48804557,27809548,123107619,227341721,105058237,123584458,228642695,108637182,48480136,51598858,31604230,131683224,240320406,110006862,132212795,242219657,2016
2,21171,VX,VX,Virgin America,3,13185878,0,0,155185,155185,13341063,13261960,155185,13417145,13508081,0,0,186349,186349,13694430,13603946,186349,13790295,2016
2,20308,WE,WE,Centurion Cargo Inc.,2,0,0,0,0,0,0,0,119072,119072,0,0,0,0,0,0,0,137952,137952,2016
2,20195,WI,WI,Sky Lease Cargo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,20287,WP,WP,Island Air Hawaii,1,92320,0,0,0,0,92320,92320,0,92320,87273,0,0,0,0,87273,87273,0,87273,2016
2,20377,X9,X9,Omni Air Express,2,0,0,0,0,0,0,367356,2653968,3021324,0,0,0,0,0,0,519998,6964140,7484138,2016
2,20207,XP,XP,XTRA Airways,1,0,0,0,0,0,0,271433,400912,672345,0,0,0,0,0,0,445656,658243,1103899,2016
2,20378,YV,YV,Mesa Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2,20452,YX,YX,Republic Airlines,2,11730250,0,0,0,0,11730250,11730250,0,11730250,11499270,0,0,0,0,11499270,11499270,0,11499270,2016
2,20046,ZW,ZW,Air Wisconsin Airlines Corp,2,5867191,0,0,0,0,5867191,5867191,0,5867191,6239743,0,0,0,0,6239743,6239743,0,6239743,2016
2,19393,WN,WN,Southwest Airlines Co.,3,144331404,0,0,1162877,1162877,145494281,144524666,1162877,145687543,251263887,0,0,1624095,1624095,252887982,251480263,1624095,253104358,2016
3,21161,09Q,09Q,"Swift Air, LLC",1,0,0,0,0,0,0,388099,163060,551159,0,0,0,0,0,0,975347,300935,1276282,2016
3,21352,0WQ,0WQ,Avjet Corporation,1,0,0,0,0,0,0,12505,0,12505,0,0,0,0,0,0,32637,0,32637,2016
3,21492,1BQ,1BQ,"Dynamic Airways, LLC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,21645,23Q,23Q,Songbird Airways Inc.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,280738,0,0,0,0,280738,368114,0,368114,621734,0,0,0,0,621734,815240,0,815240,2016
3,19917,5X,5X,United Parcel Service,3,35333000,10347000,16328000,3019000,29694000,65027000,35333000,29694000,65027000,39981000,10288000,17684000,3603000,31575000,71556000,39981000,31575000,71556000,2016
3,20007,5Y,5Y,Atlas Air Inc.,3,0,0,0,0,0,0,5339379,23449998,28789377,0,0,0,0,0,0,9763777,41179630,50943407,2016
3,19874,8C,8C,Air Transport International,2,0,0,0,0,0,0,5098,671367,676465,0,0,0,0,0,0,6186,1797260,1803446,2016
3,20363,9E,9E,Endeavor Air Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,20190,9S,9S,Southern Air Inc.,2,1080693,4718620,703626,0,5422246,6502939,1080693,5422246,6502939,2269455,9909102,1477615,0,11386717,13656172,2269455,11386717,13656172,2016
3,19805,AA,AA,American Airlines Inc.,3,183558798,41951068,20040490,51377494,113369052,296927850,191902155,113639535,305541690,201270785,45290586,22083366,62789554,130163506,331434291,210086351,130500701,340587052,2016
3,20453,ABX,ABX,ABX Air Inc,2,312309,0,0,0,0,312309,312309,0,312309,590264,0,0,0,0,590264,590264,0,590264,2016
3,19930,AS,AS,Alaska Airlines Inc.,3,38491466,0,0,1033579,1033579,39525045,38563254,1033579,39596833,48927188,0,0,1338136,1338136,50265324,49007819,1338136,50345955,2016
3,20409,B6,B6,JetBlue Airways,3,52710801,0,0,11600896,11600896,64311697,52727049,11668072,64395121,63679453,0,0,14014940,14014940,77694393,63705743,14230732,77936475,2016
3,21167,CP,CP,Compass Airlines,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,19790,DL,DL,Delta Air Lines Inc.,3,158268575,53179006,37683059,30162678,121024743,279293318,159812589,121163886,280976475,218289311,73346263,51973734,41601374,166921371,385210682,221359489,167113281,388472770,2016
3,21650,EE,EE,Eastern Airlines Group Inc.,1,0,0,0,0,0,0,279440,194480,473920,0,0,0,0,0,0,416366,289775,706141,2016
3,20366,EV,EV,ExpressJet Airlines Inc.,3,82715,0,0,0,0,82715,82715,0,82715,194962,0,0,0,0,194962,194962,0,194962,2016
3,20436,F9,F9,Frontier Airlines Inc.,3,14649706,0,0,1673457,1673457,16323163,14743364,1673457,16416821,15496557,0,0,2067749,2067749,17564306,15587483,2067749,17655232,2016
3,20107,FX,FX,Federal Express Corporation,3,64200341,12219228,19650854,545481,32415563,96615904,65327841,33159236,98487077,71032000,14057000,22714000,668000,37439000,108471000,72382000,38957000,111339000,2016
3,20368,G4,G4,Allegiant Air,3,15789297,0,0,0,0,15789297,16442818,0,16442818,21118263,0,0,0,0,21118263,22071234,0,22071234,2016
3,20500,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,20166,GFQ,GFQ,Gulf And Caribbean Cargo,1,0,0,0,0,0,0,115405,111711,227116,0,0,0,0,0,0,181508,187163,368671,2016
3,20402,GL,GL,Miami Air International,2,0,0,0,0,0,0,468387,247328,715715,0,0,0,0,0,0,876352,462753,1339105,2016
3,19690,HA,HA,Hawaiian Airlines Inc.,3,14008850,0,5699264,0,5699264,19708114,14008850,5699264,19708114,16393085,0,6633860,0,6633860,23026945,16393085,6633860,23026945,2016
3,20310,WL,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0,0,0,0,0,0,48672,23926,72598,0,0,0,0,0,0,137262,67475,204737,2016
3,20370,KAQ,KAQ,Kalitta Air LLC,2,0,0,0,0,0,0,314683,2131944,2446627,0,0,0,0,0,0,537118,3605997,4143115,2016
3,21629,KD,KD,Western Global,1,0,0,0,0,0,0,40542,0,40542,0,0,0,0,0,0,40542,0,40542,2016
3,21634,KH,KH,Aloha Air Cargo,1,458733,0,0,0,0,458733,458733,0,458733,543848,0,0,0,0,543848,543848,0,543848,2016
3,20372,KLQ,KLQ,Kalitta Charters II,1,0,0,0,0,0,0,217766,35147,252913,0,0,0,0,0,0,398870,59049,457919,2016
3,20169,L2,L2,Lynden Air Cargo Airlines,1,114620,0,0,0,0,114620,206843,41440,248283,186487,0,0,0,0,186487,382815,0,382815,2016
3,20151,M6,M6,Amerijet International,2,0,0,0,1550644,1550644,1550644,255821,1550644,1806465,0,0,0,2019253,2019253,2019253,333131,2019253,2352384,2016
3,20398,MQ,MQ,Envoy Air,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,20405,N8,N8,National Air Cargo Group Inc d/ba National Airlines,1,125772,0,0,0,0,125772,284788,492871,777659,175225,0,0,0,0,175225,408328,952076,1360404,2016
3,20108,NC,NC,Northern Air Cargo Inc.,1,338245,0,0,0,0,338245,404819,7566,412385,464156,0,0,0,0,464156,553876,13055,566931,2016
3,20416,NK,NK,Spirit Air Lines,3,18687532,0,0,1363468,1363468,20051000,18687532,1363468,20051000,28737098,0,0,2096698,2096698,30833796,28737098,2096698,30833796,2016
3,20397,OH,OH,PSA Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,20304,OO,OO,SkyWest Airlines Inc.,3,6067876,0,0,0,0,6067876,6067876,0,6067876,8768054,0,0,0,0,8768054,8768054,0,8768054,2016
3,20177,PFQ,PFQ,Asia Pacific,1,0,0,0,0,0,0,0,273261,273261,0,0,0,0,0,0,0,439064,439064,2016
3,20100,PO,PO,Polar Air Cargo Airways,3,2859183,598747,12265181,0,12863928,15723111,2859183,12863928,15723111,3232286,1004931,13821928,0,14826859,18059145,3232286,14826859,18059145,2016
3,20149,PRQ,PRQ,Florida West Airlines Inc.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,19687,QX,QX,Horizon Air,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,20448,S5,S5,Shuttle America Corp.,2,4370846,0,0,0,0,4370846,4370846,0,4370846,4851196,0,0,0,0,4851196,4851196,0,4851196,2016
3,20422,SY,SY,Sun Country Airlines d/b/a MN Airlines,2,2923994,0,0,2550642,2550642,5474636,3359333,2587415,5946748,3790053,0,0,3436691,3436691,7226744,4878371,3485150,8363521,2016
3,20447,U7,U7,USA Jet Airlines Inc.,2,0,0,0,0,0,0,553034,10707,563741,0,0,0,0,0,0,696187,19308,715495,2016
3,19977,UA,UA,United Air Lines Inc.,3,122317188,52529748,55012275,33779108,141321131,263638319,123516238,141821581,265337819,135860987,58368588,61767973,39892592,160029153,295890140,137362636,160602360,297964996,2016
3,21171,VX,VX,Virgin America,3,15183618,0,0,191967,191967,15375585,15268202,191967,15460169,17289517,0,0,245492,245492,17535009,17402265,245492,17647757,2016
3,20308,WE,WE,Centurion Cargo Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,20195,WI,WI,Sky Lease Cargo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,20287,WP,WP,Island Air Hawaii,1,121341,0,0,0,0,121341,121341,0,121341,132902,0,0,0,0,132902,132902,0,132902,2016
3,20377,X9,X9,Omni Air Express,2,0,0,0,0,0,0,371469,1924209,2295678,0,0,0,0,0,0,739193,5089662,5828855,2016
3,20207,XP,XP,XTRA Airways,1,0,0,0,0,0,0,350091,500391,850482,0,0,0,0,0,0,639529,914089,1553618,2016
3,20378,YV,YV,Mesa Airlines Inc.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3,20452,YX,YX,Republic Airlines,2,13995700,0,0,0,0,13995700,13995700,0,13995700,15033057,0,0,0,0,15033057,15033057,0,15033057,2016
3,20046,ZW,ZW,Air Wisconsin Airlines Corp,2,6588736,0,0,0,0,6588736,6588736,0,6588736,7498977,0,0,0,0,7498977,7498977,0,7498977,2016
3,19393,WN,WN,Southwest Airlines Co.,3,170974112,0,0,1413391,1413391,172387503,171254232,1413391,172667623,281475503,0,0,2068733,2068733,283544236,281824146,2068733,283892879,2016
4,21161,09Q,09Q,"Swift Air, LLC",1,0,0,0,0,0,0,214900,164261,379161,0,0,0,0,0,0,555293,104139,659432,2016
4,21352,0WQ,0WQ,Avjet Corporation,1,0,0,0,0,0,0,18337,1761,20098,0,0,0,0,0,0,47189,5330,52519,2016
4,21492,1BQ,1BQ,"Dynamic Airways, LLC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
4,21645,23Q,23Q,Songbird Airways Inc.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
4,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
